,Unnamed: 0,stimulus,repeat,fish,date,stimulus_direction,tail_beat
0,0,s01,1,1,20201125,forward,137
1,1,s01,1,1,20201126,forward,57
2,2,s01,1,1,20201210,forward,89
3,3,s01,1,1,20201211,forward,70
20,20,s01,1,2,20201120,forward,99
21,21,s01,1,2,20201126,forward,53
22,22,s01,1,2,20201211,forward,81
37,37,s01,2,1,20201125,forward,117
38,38,s01,2,1,20201126,forward,65
39,39,s01,2,1,20201210,forward,18
40,40,s01,2,1,20201211,forward,76
57,57,s01,2,2,20201120,forward,89
58,58,s01,2,2,20201125,forward,112
59,59,s01,2,2,20201126,forward,31
60,60,s01,2,2,20201211,forward,39
75,75,s01,3,1,20201125,forward,140
76,76,s01,3,1,20201126,forward,55
77,77,s01,3,1,20201210,forward,49
78,78,s01,3,1,20201211,forward,72
95,95,s01,3,2,20201120,forward,65
96,96,s01,3,2,20201125,forward,113
97,97,s01,3,2,20201126,forward,6
98,98,s01,3,2,20201211,forward,110
113,113,s02,1,1,20201125,forward,146
114,114,s02,1,1,20201126,forward,54
115,115,s02,1,1,20201210,forward,8
116,116,s02,1,1,20201211,forward,65
133,133,s02,1,2,20201120,forward,87
134,134,s02,1,2,20201126,forward,10
135,135,s02,1,2,20201211,forward,25
150,150,s02,2,1,20201125,forward,92
151,151,s02,2,1,20201126,forward,41
152,152,s02,2,1,20201210,forward,46
153,153,s02,2,1,20201211,forward,46
170,170,s02,2,2,20201120,forward,102
171,171,s02,2,2,20201125,forward,142
172,172,s02,2,2,20201126,forward,14
173,173,s02,2,2,20201211,forward,61
188,188,s02,3,1,20201125,forward,131
189,189,s02,3,1,20201126,forward,68
190,190,s02,3,1,20201210,forward,88
191,191,s02,3,1,20201211,forward,46
208,208,s02,3,2,20201120,forward,55
209,209,s02,3,2,20201125,forward,115
210,210,s02,3,2,20201126,forward,59
211,211,s02,3,2,20201211,forward,59
226,226,s03,1,1,20201125,forward,107
227,227,s03,1,1,20201126,forward,22
228,228,s03,1,1,20201210,forward,0
229,229,s03,1,1,20201211,forward,76
246,246,s03,1,2,20201120,forward,62
247,247,s03,1,2,20201126,forward,23
248,248,s03,1,2,20201211,forward,0
263,263,s03,2,1,20201125,forward,67
264,264,s03,2,1,20201126,forward,39
265,265,s03,2,1,20201210,forward,46
266,266,s03,2,1,20201211,forward,51
283,283,s03,2,2,20201120,forward,17
284,284,s03,2,2,20201125,forward,140
285,285,s03,2,2,20201126,forward,17
286,286,s03,2,2,20201211,forward,66
301,301,s03,3,1,20201125,forward,56
302,302,s03,3,1,20201126,forward,71
303,303,s03,3,1,20201210,forward,32
304,304,s03,3,1,20201211,forward,98
321,321,s03,3,2,20201120,forward,53
322,322,s03,3,2,20201125,forward,84
323,323,s03,3,2,20201126,forward,0
324,324,s03,3,2,20201211,forward,26
339,339,s04,1,1,20201125,forward,0
340,340,s04,1,1,20201126,forward,0
341,341,s04,1,1,20201210,forward,17
342,342,s04,1,1,20201211,forward,65
359,359,s04,1,2,20201120,forward,0
360,360,s04,1,2,20201126,forward,0
361,361,s04,1,2,20201211,forward,0
376,376,s04,2,1,20201125,forward,0
377,377,s04,2,1,20201126,forward,0
378,378,s04,2,1,20201210,forward,0
379,379,s04,2,1,20201211,forward,0
396,396,s04,2,2,20201120,forward,0
397,397,s04,2,2,20201125,forward,26
398,398,s04,2,2,20201126,forward,1
399,399,s04,2,2,20201211,forward,0
414,414,s04,3,1,20201125,forward,0
415,415,s04,3,1,20201126,forward,21
416,416,s04,3,1,20201210,forward,0
417,417,s04,3,1,20201211,forward,0
434,434,s04,3,2,20201120,forward,0
435,435,s04,3,2,20201125,forward,17
436,436,s04,3,2,20201126,forward,0
437,437,s04,3,2,20201211,forward,0
452,452,s05,1,1,20201125,forward,0
453,453,s05,1,1,20201126,forward,8
454,454,s05,1,1,20201210,forward,48
455,455,s05,1,1,20201211,forward,92
472,472,s05,1,2,20201120,forward,16
473,473,s05,1,2,20201126,forward,40
474,474,s05,1,2,20201211,forward,4
489,489,s05,2,1,20201125,forward,0
490,490,s05,2,1,20201126,forward,19
491,491,s05,2,1,20201210,forward,17
